taxid	Clade	Phylum	Class
3027	NA	NA	Cryptophyceae
35422	Viridiplantae	Chlorophyta	Pedinophyceae
1035538	Viridiplantae	Chlorophyta	Mamiellophyceae
1242998	Viridiplantae	Chlorophyta	Nephroselmidophyceae
2201463	Viridiplantae	Chlorophyta	Palmophyllophyceae
2302911	Viridiplantae	Chlorophyta	Chloropicophyceae
3166	Viridiplantae	Chlorophyta	Chlorophyceae
75966	Viridiplantae	Chlorophyta	Trebouxiophyceae
1524962	Viridiplantae	Chlorophyta	Chlorodendrophyceae
2692249	Viridiplantae	Chlorophyta	Picocystophyceae
2704063	Viridiplantae	Chlorophyta	Pyramimonadophyceae
2806170	Viridiplantae	Prasinodermophyta	Prasinodermophyceae
28009	Opisthokonta	NA	Choanoflagellata
127916	Opisthokonta	NA	Ichthyosporea
1498967	Opisthokonta	Aphelida	Aphelidea
2687318	Opisthokonta	NA	Filasterea
38254	NA	NA	Glaucocystophyceae
1485085	Amoebozoa	Discosea	Flabellinia
2604337	Amoebozoa	Tubulinea	Corycida
2681631	Amoebozoa	Tubulinea	Echinamoebida
2681632	Amoebozoa	Tubulinea	Elardia
142796	Amoebozoa	Evosea	Eumycetozoa
2605334	Amoebozoa	Evosea	Variosea
1401294	NA	NA	Breviatea
2598132	NA	NA	Rhodelphea
2830	Haptista	NA	Haptophyta
193537	Haptista	NA	Centroplasthelida
285691	Metamonada	Parabasalia	Hypermastigia
3035	Discoba	Euglenozoa	Euglenida
5653	Discoba	Euglenozoa	Kinetoplastea
1315720	Eukaryota incertae sedis	Picozoa	Picomonadea
2864	Alveolata	NA	Dinophyceae
422676	Alveolata	Apicomplexa	Aconoidasida
1280412	Alveolata	Apicomplexa	Conoidasida
33827	Alveolata	Ciliophora	Karyorelictea
194287	Alveolata	Ciliophora	Heterotrichea
5977	Alveolata	Ciliophora	Colpodea
5988	Alveolata	Ciliophora	Litostomatea
6000	Alveolata	Ciliophora	Prostomatea
6015	Alveolata	Ciliophora	Nassophorea
6020	Alveolata	Ciliophora	Oligohymenophorea
33829	Alveolata	Ciliophora	Spirotrichea
37471	Alveolata	Ciliophora	Phyllopharyngea
658449	Alveolata	Ciliophora	Armophorea
1249559	Alveolata	Ciliophora	Plagiopylea
2304343	Alveolata	Ciliophora	Odontostomatea
2730722	Alveolata	Ciliophora	Muranotrichea
2730723	Alveolata	Ciliophora	Parablepharismea
42382	Stramenopiles	NA	Hyphochytriomycetes
54900	Stramenopiles	NA	Chrysomerophyceae
238765	Stramenopiles	NA	Actinophryidae
1892577	Stramenopiles	NA	Developea
2683628	Stramenopiles	NA	Bigyra
2686031	Stramenopiles	NA	Chrysista
2825	Stramenopiles	Ochrophyta	Chrysophyceae
33836	Stramenopiles	Ochrophyta	Coscinodiscophyceae
33849	Stramenopiles	Ochrophyta	Bacillariophyceae
33853	Stramenopiles	Ochrophyta	Fragilariophyceae
589449	Stramenopiles	Ochrophyta	Mediophyceae
5747	Stramenopiles	Ochrophyta	Eustigmatophyceae
33859	Stramenopiles	Ochrophyta	Synurophyceae
35675	Stramenopiles	Ochrophyta	Pelagophyceae
38410	Stramenopiles	Ochrophyta	Raphidophyceae
39119	Stramenopiles	Ochrophyta	Dictyochophyceae
82162	Stramenopiles	Ochrophyta	Phaeothamniophyceae
91989	Stramenopiles	Ochrophyta	Bolidophyceae
157124	Stramenopiles	Ochrophyta	Pinguiophyceae
557229	Stramenopiles	Ochrophyta	Synchromophyceae
2833	Stramenopiles	Ochrophyta	Xanthophyceae
569577	Stramenopiles	Ochrophyta	Aurearenophyceae
2797540	Stramenopiles	Ochrophyta	Phaeosacciophyceae
2816457	Stramenopiles	Ochrophyta	Olisthodiscophyceae
29197	Rhizaria	Cercozoa	Chlorarachniophyceae
1004930	Rhizaria	Cercozoa	Thecofilosea
1871466	Rhizaria	Endomyxa	Ascetosporea
2779609	Rhizaria	Endomyxa	Phytomyxea
1659748	Rhizaria	Retaria	Globothalamea
65574	Rhizaria	Retaria	Acantharea
65582	Rhizaria	Retaria	Polycystinea
